01a:          945 µs
01b:          239 µs

02a:         2915 µs
02b:          250 µs

03a:         3236 µs
03b:          278 µs

04a:         3027 µs
04b:          259 µs

05a:         2571 µs
05b:          225 µs

06a:          673 µs
06b:          174 µs

07a:         3189 µs
07b:          614 µs

08a:         4044 µs
08a_alt:      335 µs
08b:         1387 µs

09a:         5074 µs
09b:         3818 µs

10a:         2072 µs
10b:           74 µs

11a:         2476 µs
11b:        19262 µs

12a:         8078 µs
12b:         1191 µs

13a:         3250 µs
13b:         5461 µs

14a:          807 µs
14b:        16116 µs

15a:      1291657 µs
15b:      1055790 µs

17a:          817 µs
17b:      1461801 µs

